Model,F1_Macro,F1_Weighted,Precision,Recall,ROC_AUC
LightGBM,0.5259174861780361,0.8744108064601561,0.3037542662116041,0.06154910096818811,0.6983570776760212
XGBoost,0.5168751780873924,0.8731359554414979,0.2874493927125506,0.04910096818810512,0.6944514350953865
CatBoost,0.4840558741489453,0.8700850168774135,0.3333333333333333,0.007607192254495159,0.6934195778155241
Random Forest,0.5176759019111634,0.8741730754905581,0.3286384976525822,0.048409405255878286,0.6762214139727705
Logistic Regression,0.4423161682259406,0.6741578395702308,0.0977818017202354,0.44813278008298757,0.5486256349247093
